caseid,task,resource,role,end_timestamp,pr_instances,tsk_start_inst,start_timestamp
Case3,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 14:32:03,167,0,2018-10-29 13:49:18
Case39,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 15:55:09,167,0,2018-10-29 15:25:54
Case8,Request Payment,res_f1d5d76e-73b3-4ad2-b5bc-b44969b003a7,Role 2,2018-10-29 16:48:01,166,1,2018-10-29 16:01:53
Case10,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 17:34:53,166,0,2018-10-29 16:50:00
Case40,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 18:04:43,166,2,2018-10-29 17:35:35
Case15,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 18:39:22,166,0,2018-10-29 17:54:57
Case40,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 18:49:04,166,0,2018-10-29 18:05:01
Case41,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 19:24:32,166,2,2018-10-29 18:55:22
Case20,Request For Payment REJECTED by MISSING,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 19:52:04,166,0,2018-10-29 19:07:26
Case31,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 19:55:30,166,0,2018-10-29 19:11:14
Case41,Request For Payment FINAL_APPROVED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 20:09:16,166,1,2018-10-29 19:24:50
Case12,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 20:39:21,165,1,2018-10-29 19:54:35
Case42,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 20:45:56,166,0,2018-10-29 20:16:43
Case28,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 21:42:51,164,0,2018-10-29 20:58:20
Case3,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 23:24:50,163,0,2018-10-29 22:42:13
Case18,Request For Payment APPROVED by BUDGET OWNER,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-29 23:42:43,163,1,2018-10-29 22:58:14
Case43,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 00:53:18,164,0,2018-10-30 00:23:51
Case44,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 01:50:53,164,0,2018-10-30 01:21:28
Case21,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 01:53:02,163,0,2018-10-30 01:08:49
Case45,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 03:55:52,164,2,2018-10-30 03:26:29
Case45,Request For Payment FINAL_APPROVED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 04:40:44,164,1,2018-10-30 03:56:10
Case46,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 04:42:42,165,2,2018-10-30 04:13:13
Case46,Request For Payment REJECTED by ADMINISTRATION,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 05:27:31,165,0,2018-10-30 04:43:00
Case23,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 05:29:57,165,2,2018-10-30 04:49:08
Case22,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 05:37:02,165,0,2018-10-30 04:52:45
Case47,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 06:06:51,165,2,2018-10-30 05:37:26
Case48,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 06:25:05,166,0,2018-10-30 05:55:42
Case47,Request For Payment APPROVED by ADMINISTRATION,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 06:51:45,166,1,2018-10-30 06:07:09
Case36,Request For Payment FINAL_APPROVED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 07:01:37,166,1,2018-10-30 06:17:19
Case49,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 08:15:38,166,0,2018-10-30 07:46:15
Case23,Request For Payment APPROVED by ADMINISTRATION,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 08:27:22,165,1,2018-10-30 07:43:58
Case50,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 08:59:55,166,2,2018-10-30 08:30:28
Case50,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 09:44:39,166,0,2018-10-30 09:00:13
Case3,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 09:47:19,166,2,2018-10-30 09:04:49
Case23,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 10:01:12,166,1,2018-10-30 09:18:27
Case51,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 10:21:59,167,2,2018-10-30 09:52:29
Case4,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 10:51:23,167,3,2018-10-30 10:09:20
Case51,Request For Payment APPROVED by ADMINISTRATION,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 11:06:51,167,1,2018-10-30 10:22:17
Case4,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 11:35:19,167,0,2018-10-30 10:51:41
Case52,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 12:09:55,168,0,2018-10-30 11:40:33
Case53,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 12:47:03,168,0,2018-10-30 12:17:41
Case54,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 13:57:56,168,0,2018-10-30 13:28:35
Case40,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 14:09:09,167,0,2018-10-30 13:24:49
Case55,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 14:50:38,168,2,2018-10-30 14:21:09
Case55,Request For Payment REJECTED by PRE_APPROVER,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 15:35:14,168,0,2018-10-30 14:50:56
Case31,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 15:51:35,168,2,2018-10-30 15:10:55
Case56,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 15:57:20,169,3,2018-10-30 15:27:50
Case23,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 16:22:38,169,0,2018-10-30 15:40:51
Case56,Request For Payment FINAL_APPROVED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 16:42:12,169,1,2018-10-30 15:57:38
Case31,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 16:52:40,169,0,2018-10-30 16:09:46
Case57,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 17:18:15,170,2,2018-10-30 16:48:45
Case58,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 17:26:51,171,3,2018-10-30 16:57:21
Case3,Request For Payment APPROVED by ADMINISTRATION,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 17:51:00,171,1,2018-10-30 17:09:00
Case25,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 17:58:19,171,4,2018-10-30 17:16:49
Case57,Request For Payment REJECTED by ADMINISTRATION,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 18:03:02,171,0,2018-10-30 17:18:33
Case58,Request For Payment APPROVED by PRE_APPROVER,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 18:11:37,171,0,2018-10-30 17:27:09
Case4,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 18:21:08,171,0,2018-10-30 17:38:47
Case25,Request For Payment REJECTED by ADMINISTRATION,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 18:41:48,171,1,2018-10-30 17:58:37
Case59,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 19:32:34,171,0,2018-10-30 19:03:15
Case21,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 20:16:10,170,2,2018-10-30 19:35:35
Case3,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 20:38:38,170,0,2018-10-30 19:56:38
Case41,Request Payment,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 2,2018-10-30 20:41:15,170,1,2018-10-30 19:56:16
Case6,Request For Payment REJECTED by MISSING,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 20:49:23,170,0,2018-10-30 20:08:10
Case21,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 20:59:26,170,1,2018-10-30 20:16:28
Case60,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 22:10:12,170,0,2018-10-30 21:40:54
Case23,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 23:05:22,169,2,2018-10-30 22:23:13
Case25,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-30 23:07:22,169,0,2018-10-30 22:24:38
Case61,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-31 00:18:25,169,2,2018-10-30 23:48:55
Case31,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-31 00:29:36,168,0,2018-10-30 23:47:00
Case61,Request For Payment FINAL_APPROVED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-31 01:02:56,169,1,2018-10-31 00:18:43
Case23,Request For Payment REJECTED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-31 01:18:52,169,0,2018-10-31 00:36:31
Case21,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-31 01:59:14,169,0,2018-10-31 01:16:27
Case62,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-31 02:35:59,169,0,2018-10-31 02:06:43
Case3,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-31 04:07:51,168,0,2018-10-31 03:25:36
Case18,Request For Payment FINAL_APPROVED by SUPERVISOR,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-31 04:10:38,168,1,2018-10-31 03:28:21
Case18,Request For Payment REJECTED by MISSING,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-31 04:53:54,167,0,2018-10-31 04:10:56
Case46,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-31 08:23:39,166,0,2018-10-31 07:39:34
Case63,Request For Payment SAVED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-31 08:55:40,166,0,2018-10-31 08:26:26
Case47,Request For Payment APPROVED by BUDGET OWNER,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-31 09:03:03,166,1,2018-10-31 08:18:54
Case31,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-31 09:47:17,165,2,2018-10-31 09:05:02
Case64,Request For Payment SUBMITTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-31 09:57:40,166,3,2018-10-31 09:28:39
Case64,Request For Payment REJECTED by PRE_APPROVER,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-31 10:41:38,166,0,2018-10-31 09:57:58
Case23,Request For Payment REJECTED by EMPLOYEE,res_c69c8e50-1285-46f6-a2dc-3b4fe9a350e1,Role 1,2018-10-31 11:04:00,166,0,2018-10-31 10:21:31
