caseid,task,user,end_timestamp,start_timestamp
request for payment 172324,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-26 11:33:33+00:00,2018-10-26 10:48:33+00:00
request for payment 172324,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-26 11:22:37+00:00,2018-10-26 10:48:37+00:00
request for payment 172330,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-26 11:48:39+00:00,2018-10-26 10:49:39+00:00
request for payment 172330,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-26 11:26:43+00:00,2018-10-26 10:49:43+00:00
request for payment 172335,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-26 11:57:05+00:00,2018-10-26 11:07:05+00:00
request for payment 172335,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-26 12:02:43+00:00,2018-10-26 11:07:43+00:00
request for payment 172341,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-26 11:59:33+00:00,2018-10-26 11:09:33+00:00
request for payment 172341,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-26 11:53:19+00:00,2018-10-26 11:10:19+00:00
request for payment 172587,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-26 13:18:46+00:00,2018-10-26 12:44:46+00:00
request for payment 172587,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-26 13:26:12+00:00,2018-10-26 12:45:12+00:00
request for payment 172346,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-26 14:05:00+00:00,2018-10-26 13:13:00+00:00
request for payment 172351,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-26 13:50:34+00:00,2018-10-26 13:14:34+00:00
request for payment 172351,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-26 14:16:34+00:00,2018-10-26 13:16:34+00:00
request for payment 172346,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-26 13:53:17+00:00,2018-10-26 13:18:17+00:00
request for payment 182305,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-26 14:52:41+00:00,2018-10-26 14:16:41+00:00
request for payment 182310,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-26 15:05:02+00:00,2018-10-26 14:18:02+00:00
request for payment 182310,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-26 15:13:09+00:00,2018-10-26 14:18:09+00:00
request for payment 182316,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-26 15:25:04+00:00,2018-10-26 14:49:04+00:00
request for payment 182316,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-26 15:45:20+00:00,2018-10-26 14:49:20+00:00
request for payment 177002,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-26 16:45:22+00:00,2018-10-26 15:56:22+00:00
request for payment 177002,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-26 16:30:24+00:00,2018-10-26 15:56:24+00:00
request for payment 181729,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-26 17:21:32+00:00,2018-10-26 16:31:32+00:00
request for payment 181729,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-26 17:10:35+00:00,2018-10-26 16:31:35+00:00
request for payment 183089,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-27 10:27:36+00:00,2018-10-27 09:45:36+00:00
request for payment 183089,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-27 10:38:44+00:00,2018-10-27 09:45:44+00:00
request for payment 183094,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-27 11:03:30+00:00,2018-10-27 10:17:30+00:00
request for payment 183094,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-27 10:54:59+00:00,2018-10-27 10:17:59+00:00
request for payment 183099,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-27 10:54:07+00:00,2018-10-27 10:19:07+00:00
request for payment 183099,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-27 10:55:29+00:00,2018-10-27 10:19:29+00:00
request for payment 183104,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-27 11:25:32+00:00,2018-10-27 10:44:32+00:00
request for payment 183104,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-27 11:15:18+00:00,2018-10-27 10:45:18+00:00
request for payment 183109,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-27 15:05:08+00:00,2018-10-27 14:20:08+00:00
request for payment 183109,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-27 15:02:10+00:00,2018-10-27 14:20:10+00:00
request for payment 183114,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-27 16:24:34+00:00,2018-10-27 15:33:34+00:00
request for payment 183114,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-27 16:18:16+00:00,2018-10-27 15:34:16+00:00
request for payment 182450,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-27 18:19:36+00:00,2018-10-27 17:21:36+00:00
request for payment 182450,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-27 18:03:04+00:00,2018-10-27 17:22:04+00:00
request for payment 182456,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-27 18:24:08+00:00,2018-10-27 17:31:08+00:00
request for payment 182456,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-27 18:12:15+00:00,2018-10-27 17:31:15+00:00
request for payment 180438,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-27 19:47:52+00:00,2018-10-27 19:13:52+00:00
request for payment 180438,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-27 19:57:48+00:00,2018-10-27 19:15:48+00:00
request for payment 180443,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-28 15:12:13+00:00,2018-10-28 14:12:13+00:00
request for payment 180443,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018-10-28 14:43:45+00:00,2018-10-28 14:12:45+00:00
request for payment 177008,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-28 17:08:25+00:00,2018-10-28 16:22:25+00:00
request for payment 177008,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-28 17:19:49+00:00,2018-10-28 16:23:49+00:00
request for payment 182462,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-28 23:04:43+00:00,2018-10-28 22:11:43+00:00
request for payment 182462,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-28 22:59:03+00:00,2018-10-28 22:15:03+00:00
request for payment 173478,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 08:56:47+00:00,2018-10-29 08:09:47+00:00
request for payment 173478,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 08:47:36+00:00,2018-10-29 08:10:36+00:00
request for payment 182321,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 09:24:34+00:00,2018-10-29 08:53:34+00:00
request for payment 182321,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 09:40:56+00:00,2018-10-29 08:53:56+00:00
request for payment 176985,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018-10-29 10:01:05+00:00,2018-10-29 09:03:05+00:00
request for payment 177013,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 09:57:48+00:00,2018-10-29 09:13:48+00:00
request for payment 177013,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 10:14:20+00:00,2018-10-29 09:14:20+00:00
request for payment 182467,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 10:01:39+00:00,2018-10-29 09:29:39+00:00
request for payment 182467,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 10:14:44+00:00,2018-10-29 09:30:44+00:00
request for payment 175058,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 10:35:12+00:00,2018-10-29 09:40:12+00:00
request for payment 175058,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018-10-29 10:32:15+00:00,2018-10-29 09:40:15+00:00
request for payment 180433,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018-10-29 10:44:54+00:00,2018-10-29 10:14:54+00:00
request for payment 171675,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 11:30:38+00:00,2018-10-29 10:30:38+00:00
request for payment 171675,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018-10-29 11:05:40+00:00,2018-10-29 10:30:40+00:00
request for payment 182473,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 11:18:39+00:00,2018-10-29 10:43:39+00:00
request for payment 182473,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 11:17:45+00:00,2018-10-29 10:43:45+00:00
request for payment 182478,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 11:45:24+00:00,2018-10-29 10:46:24+00:00
request for payment 182478,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 11:43:29+00:00,2018-10-29 10:54:29+00:00
request for payment 177019,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 12:07:33+00:00,2018-10-29 11:09:33+00:00
request for payment 177019,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 11:45:30+00:00,2018-10-29 11:10:30+00:00
request for payment 177024,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 12:29:05+00:00,2018-10-29 11:46:05+00:00
request for payment 177024,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018-10-29 12:41:29+00:00,2018-10-29 11:46:29+00:00
request for payment 177028,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 12:47:08+00:00,2018-10-29 11:56:08+00:00
request for payment 177028,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 12:53:52+00:00,2018-10-29 11:56:52+00:00
request for payment 177034,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 12:41:06+00:00,2018-10-29 12:04:06+00:00
request for payment 177040,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 12:41:07+00:00,2018-10-29 12:06:07+00:00
request for payment 177040,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 12:46:13+00:00,2018-10-29 12:06:13+00:00
request for payment 177034,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 12:54:19+00:00,2018-10-29 12:07:19+00:00
request for payment 171675,Request For Payment REJECTED by EMPLOYEE,STAFF MEMBER,2018-10-29 13:11:37+00:00,2018-10-29 12:11:37+00:00
request for payment 172346,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018-10-29 13:18:27+00:00,2018-10-29 12:19:27+00:00
request for payment 171675,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 13:15:46+00:00,2018-10-29 12:19:46+00:00
request for payment 171675,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 13:18:48+00:00,2018-10-29 12:19:48+00:00
request for payment 172351,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018-10-29 13:22:42+00:00,2018-10-29 12:22:42+00:00
request for payment 180450,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 13:24:33+00:00,2018-10-29 12:24:33+00:00
request for payment 180450,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 13:01:44+00:00,2018-10-29 12:24:44+00:00
request for payment 180455,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 13:22:47+00:00,2018-10-29 12:24:47+00:00
request for payment 180455,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 13:12:49+00:00,2018-10-29 12:25:49+00:00
request for payment 171675,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018-10-29 12:55:55+00:00,2018-10-29 12:25:55+00:00
request for payment 171683,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 13:14:00+00:00,2018-10-29 12:35:00+00:00
request for payment 171688,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 13:30:58+00:00,2018-10-29 12:37:58+00:00
request for payment 171688,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018-10-29 13:28:02+00:00,2018-10-29 12:38:02+00:00
request for payment 172049,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 13:15:32+00:00,2018-10-29 12:38:32+00:00
request for payment 172356,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 13:21:00+00:00,2018-10-29 12:39:00+00:00
request for payment 172356,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 13:18:16+00:00,2018-10-29 12:39:16+00:00
request for payment 171683,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 13:18:16+00:00,2018-10-29 12:40:16+00:00
request for payment 183119,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 13:35:37+00:00,2018-10-29 12:55:37+00:00
request for payment 183119,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 13:37:21+00:00,2018-10-29 12:59:21+00:00
request for payment 183125,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 14:26:21+00:00,2018-10-29 13:26:21+00:00
request for payment 183125,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 14:20:23+00:00,2018-10-29 13:26:23+00:00
request for payment 183130,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 14:37:26+00:00,2018-10-29 13:44:26+00:00
request for payment 183130,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 14:17:33+00:00,2018-10-29 13:44:33+00:00
request for payment 180461,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 15:26:35+00:00,2018-10-29 14:30:35+00:00
request for payment 180461,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 15:30:34+00:00,2018-10-29 14:33:34+00:00
request for payment 183119,Request For Payment APPROVED by SUPERVISOR,STAFF MEMBER,2018-10-29 15:42:15+00:00,2018-10-29 14:45:15+00:00
request for payment 183136,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 15:28:04+00:00,2018-10-29 14:53:04+00:00
request for payment 183136,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 15:41:08+00:00,2018-10-29 14:53:08+00:00
request for payment 177045,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 15:30:48+00:00,2018-10-29 14:59:48+00:00
request for payment 174730,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 15:47:27+00:00,2018-10-29 15:03:27+00:00
request for payment 174730,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 15:57:32+00:00,2018-10-29 15:03:32+00:00
request for payment 177045,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 15:46:08+00:00,2018-10-29 15:06:08+00:00
request for payment 173687,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 15:39:45+00:00,2018-10-29 15:06:45+00:00
request for payment 173687,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 15:42:50+00:00,2018-10-29 15:06:50+00:00
request for payment 171675,Request Payment,SYSTEM,2018-10-29 16:24:50+00:00,2018-10-29 15:44:50+00:00
request for payment 182483,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 17:19:01+00:00,2018-10-29 16:23:01+00:00
request for payment 182489,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 18:06:31+00:00,2018-10-29 17:06:31+00:00
request for payment 182489,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 18:06:10+00:00,2018-10-29 17:07:10+00:00
request for payment 183142,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 18:48:11+00:00,2018-10-29 18:14:11+00:00
request for payment 183142,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 18:44:14+00:00,2018-10-29 18:14:14+00:00
request for payment 183147,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 18:52:24+00:00,2018-10-29 18:19:24+00:00
request for payment 183147,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 18:53:29+00:00,2018-10-29 18:19:29+00:00
request for payment 183153,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-29 19:42:58+00:00,2018-10-29 18:49:58+00:00
request for payment 183153,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-29 19:50:07+00:00,2018-10-29 18:55:07+00:00
request for payment 179592,Request Payment,SYSTEM,2018-10-30 07:40:06+00:00,2018-10-30 06:44:06+00:00
request for payment 172324,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018-10-30 07:55:23+00:00,2018-10-30 07:10:23+00:00
request for payment 183147,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018-10-30 08:06:00+00:00,2018-10-30 07:11:00+00:00
request for payment 172587,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018-10-30 08:08:53+00:00,2018-10-30 07:11:53+00:00
request for payment 182489,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018-10-30 07:58:12+00:00,2018-10-30 07:12:12+00:00
request for payment 180450,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018-10-30 08:11:57+00:00,2018-10-30 07:16:57+00:00
request for payment 180467,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-30 07:59:20+00:00,2018-10-30 07:23:20+00:00
request for payment 182462,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018-10-30 08:07:50+00:00,2018-10-30 07:25:50+00:00
request for payment 180467,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-30 08:03:01+00:00,2018-10-30 07:28:01+00:00
request for payment 183491,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-30 08:23:13+00:00,2018-10-30 07:29:13+00:00
request for payment 183491,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-30 08:16:28+00:00,2018-10-30 07:29:28+00:00
request for payment 180433,Request Payment,SYSTEM,2018-10-30 08:18:08+00:00,2018-10-30 07:38:08+00:00
request for payment 182494,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-30 08:31:51+00:00,2018-10-30 07:40:51+00:00
request for payment 182494,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-30 08:39:09+00:00,2018-10-30 07:41:09+00:00
request for payment 172318,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018-10-30 08:25:52+00:00,2018-10-30 07:44:52+00:00
request for payment 182494,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018-10-30 08:30:48+00:00,2018-10-30 07:46:48+00:00
request for payment 180455,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018-10-30 08:45:27+00:00,2018-10-30 08:09:27+00:00
request for payment 182310,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018-10-30 09:06:29+00:00,2018-10-30 08:10:29+00:00
request for payment 182467,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018-10-30 09:08:12+00:00,2018-10-30 08:17:12+00:00
request for payment 173478,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018-10-30 09:16:15+00:00,2018-10-30 08:23:15+00:00
request for payment 180438,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018-10-30 08:59:45+00:00,2018-10-30 08:25:45+00:00
request for payment 172054,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-30 09:27:22+00:00,2018-10-30 08:30:22+00:00
request for payment 172054,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-30 09:19:21+00:00,2018-10-30 08:31:21+00:00
request for payment 183099,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018-10-30 09:32:29+00:00,2018-10-30 08:40:29+00:00
request for payment 183094,Request For Payment FINAL_APPROVED by SUPERVISOR,STAFF MEMBER,2018-10-30 09:24:42+00:00,2018-10-30 08:41:42+00:00
request for payment 172576,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018-10-30 09:30:44+00:00,2018-10-30 08:44:44+00:00
request for payment 172059,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-30 09:56:54+00:00,2018-10-30 09:20:54+00:00
request for payment 172059,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-30 10:16:06+00:00,2018-10-30 09:24:06+00:00
request for payment 183119,Request For Payment FINAL_APPROVED by DIRECTOR,STAFF MEMBER,2018-10-30 10:17:54+00:00,2018-10-30 09:39:54+00:00
request for payment 174736,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-30 10:53:12+00:00,2018-10-30 10:01:12+00:00
request for payment 174736,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-30 10:59:30+00:00,2018-10-30 10:01:30+00:00
request for payment 182500,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-30 11:02:07+00:00,2018-10-30 10:21:07+00:00
request for payment 182500,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-30 10:57:05+00:00,2018-10-30 10:22:05+00:00
request for payment 182505,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-30 11:19:35+00:00,2018-10-30 10:37:35+00:00
request for payment 182505,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018-10-30 11:36:47+00:00,2018-10-30 10:37:47+00:00
request for payment 174769,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-30 11:34:36+00:00,2018-10-30 10:39:36+00:00
request for payment 174769,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-30 11:35:38+00:00,2018-10-30 10:39:38+00:00
request for payment 183497,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-30 11:40:14+00:00,2018-10-30 10:44:14+00:00
request for payment 183497,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-30 11:38:21+00:00,2018-10-30 10:44:21+00:00
request for payment 177028,Request For Payment APPROVED by BUDGET OWNER,STAFF MEMBER,2018-10-30 11:37:55+00:00,2018-10-30 10:49:55+00:00
request for payment 174774,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-30 11:43:19+00:00,2018-10-30 11:04:19+00:00
request for payment 174774,Request For Payment REJECTED by ADMINISTRATION,STAFF MEMBER,2018-10-30 11:41:55+00:00,2018-10-30 11:04:55+00:00
request for payment 172362,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-30 12:18:53+00:00,2018-10-30 11:36:53+00:00
request for payment 172362,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-30 12:26:59+00:00,2018-10-30 11:36:59+00:00
request for payment 172367,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-30 12:58:45+00:00,2018-10-30 12:01:45+00:00
request for payment 172367,Request For Payment APPROVED by ADMINISTRATION,STAFF MEMBER,2018-10-30 12:56:52+00:00,2018-10-30 12:01:52+00:00
request for payment 172064,Request For Payment SUBMITTED by EMPLOYEE,STAFF MEMBER,2018-10-30 12:53:06+00:00,2018-10-30 12:21:06+00:00
